,Run,Q_delta
0,0,7.3776
1,1,0.0
2,2,9.871200000000002
3,3,9.759999999999998
4,4,8.783999999999999
5,5,6.495856000000003
6,6,9.741456
7,7,9.651200000000003
8,8,2.5327999999999946
9,9,9.500260143999995
10,10,9.626605754256005
11,11,6.200000000000003
12,12,1.5999999999999943
13,13,3.2630897439999984
14,14,4.261161599999994
15,15,5.079780144000011
16,16,7.881819424574388
17,17,2.3805257542559985
18,18,6.480356385600004
19,19,8.221921036430416
20,20,5.101938347040004
21,21,5.680000000000007
22,22,5.865645434255981
23,23,4.034072049671352
24,24,0.9772488000000124
25,25,9.637725434256026
26,26,3.7029256035913534
27,27,10.213045884655969
28,28,2.8179525826066083
29,29,10.52026014400002
30,30,6.931454400000007
31,31,10.284352582606601
32,32,6.211719946028296
33,33,1.8336587379913283
34,34,12.355169541134416
35,35,8.325481892787337
36,36,6.678917445123375
37,37,6.0831656250870765
38,38,10.97867082258594
39,39,6.548779668712655
40,40,9.957426024188408
41,41,9.094550339380362
42,42,8.920726060079573
43,43,6.723018897991437
44,44,5.645670525585956
45,45,1.7242953098968314
46,46,5.950830765927833
47,47,9.037328493818848
48,48,7.430729228907353
49,49,9.211247761265724
50,50,4.104702346537749
51,51,3.747340821884734
52,52,6.327082250954845
53,53,5.917130590204977
54,54,2.8652847293147374
55,55,7.393254730119168
56,56,2.2200983302524264
57,57,9.59374474240002
58,58,7.372541974070145
59,59,5.609080719386611
60,60,2.907552809966319
61,61,3.695909545783593
62,62,5.97264285260087
63,63,5.107057721073659
64,64,5.578165109241809
65,65,6.904032098729601
66,66,2.502697072622823
67,67,0.5970879045826223
68,68,2.311539067914225
69,69,5.4221195332619345
70,70,8.5691623673535
71,71,9.828182539975614
72,72,8.651329363099023
73,73,12.943283355609594
74,74,7.858516683390576
75,75,0.9198617484087777
76,76,4.7398860826173745
77,77,6.260404361899191
78,78,8.71677236406174
79,79,6.636030332051746
80,80,4.651154942784956
81,81,6.023946435649691
82,82,7.7956758082015085
83,83,7.682115645222439
84,84,2.6028290728035017
85,85,1.6333521902264465
86,86,4.47144112473427
87,87,9.09904989837969
88,88,8.685236202075885
89,89,10.445700902120052
90,90,5.720347699652962
91,91,0.808267618396826
92,92,1.3627510767504418
93,93,1.2515167098806614
94,94,6.027289210203207
95,95,8.727883103432646
96,96,8.814690314206246
97,97,10.40972219499372
98,98,9.701180944935004
99,99,6.727439823811892
100,100,9.891145837612385
101,101,6.556960900049262
102,102,3.0927602823736606
103,103,5.401943836913688
104,104,3.1928712125563834
105,105,5.63253426345932
106,106,5.656548279678304
107,107,4.320108641473212
108,108,0.6918454086352313
109,109,6.893055892691336
110,110,8.701419561365697
111,111,11.164050021990192
112,112,7.976923479162906
113,113,7.363731941593187
114,114,5.562749682045705
115,115,3.3577683469482054
116,116,6.652464547860632
117,117,3.5341643214368332
118,118,3.6752271833148598
119,119,8.540608580240018
120,120,5.012934283623622
121,121,6.656370654622606
122,122,7.5687784556071165
123,123,5.106798126894319
124,124,3.639239769406686
125,125,2.3747001646044055
126,126,8.39581026197493
127,127,3.213775160054638
128,128,3.6196813772540963
129,129,3.8456233755620133
130,130,7.75395335475082
131,131,11.178391959660757
132,132,2.83006528247779
133,133,0.4484038421803689
134,134,6.188525977415679
135,135,8.18387893941258
136,136,4.45807235995801
137,137,2.6895617029983896
138,138,7.842565541324689
139,139,8.939606619059418
140,140,7.666361825778722
141,141,7.779991802279142
142,142,3.7785840559695316
143,143,8.076836897481712
144,144,8.388145332377462
145,145,9.442482744181689
146,146,9.421356833242612
147,147,8.483654687340163
148,148,8.72238330128414
149,149,3.7634497448478896
150,150,4.869295501431566
151,151,10.34072922665996
152,152,8.92473166632226
153,153,11.549955221074242
154,154,6.605630107678053
155,155,5.756782735470097
156,156,6.479300620524327
157,157,12.245897497267379
158,158,6.3535483187952195
159,159,6.471264342048698
160,160,12.214607821820323
161,161,4.061678767250669
162,162,3.3980544904970884
163,163,7.127614159471705
164,164,4.000451207126616
165,165,3.6017963330018574
166,166,7.816002007720954
167,167,10.475588345864708
168,168,10.067413977385058
169,169,3.6555108905256475
170,170,7.177356411092205
171,171,7.302006430536039
172,172,8.113831104360997
173,173,8.774717811242454
174,174,8.308452997770246
175,175,8.931397391851306
176,176,5.934263456917279
177,177,7.748777207701323
178,178,4.685305252313583
179,179,8.154942580659053
180,180,8.806058793749116
181,181,8.650947370217864
182,182,5.013025109281443
183,183,8.737047911606396
184,184,9.650082538001016
185,185,8.781896704025712
186,186,4.449339874251336
187,187,2.185245156768133
188,188,3.8717316004044733
189,189,-1.839636865007833
190,190,16.840827189252423
191,191,10.681979349409175
192,192,4.000440485319359
193,193,6.621750368478388
194,194,1.0272651216882878
195,195,8.735439615978521
196,196,4.71979328925363
197,197,0.924538609519459
198,198,9.731879139009607
199,199,2.555194382982336
200,200,4.704022132085129
201,201,2.862423627266253
202,202,8.786283447351252
203,203,4.72894475601197
204,204,8.889510185145355
205,205,2.8207617575028507
206,206,6.830288318838257
207,207,7.282053036249863
208,208,4.857117580964314
209,209,9.872452559609883
210,210,4.50732970812669
211,211,4.795393126878025
212,212,1.2307240654988618
213,213,1.7257051683884583
214,214,7.765008690025525
215,215,4.322834481441532
216,216,2.143843537279281
217,217,13.424906174942862
218,218,2.6479776986336674
219,219,1.746559835742346
220,220,16.211880079789353
221,221,4.482628617329965
222,222,9.783988684837368
223,223,4.834055574039439
224,224,3.176879980067042
225,225,14.537404009764487
226,226,5.0634506909054835
227,227,8.444223362985667
228,228,10.506603251138813
229,229,2.8147027677296137
230,230,10.351172044966916
231,231,8.139354139157831
232,232,9.116352592514659
233,233,3.07437505011967
234,234,2.2761595119222875
235,235,3.9150735715384144
236,236,9.601103226495525
237,237,8.227937631900886
238,238,5.6920138662067075
239,239,6.875704133059116
240,240,7.816413655842325
241,241,7.738064579850061
242,242,3.561439326175332
243,243,5.821784185692422
244,244,8.85275330441209
245,245,8.938061676523603
246,246,2.5168426399914097
247,247,2.8591919820605654
248,248,11.81847761865879
249,249,17.6067542169626
250,250,12.2233528376496
251,251,2.0733617977705308
252,252,7.324875001327655
253,253,10.281126894114323
254,254,2.3798540187744948
255,255,4.606410547642099
256,256,8.037193292700977
257,257,5.302088116935693
258,258,5.696272078609809
259,259,2.7437284420893775
260,260,10.322904639037006
261,261,2.862817358891789
262,262,2.947162963320352
263,263,5.752313655654234
264,264,9.795396534209885
265,265,3.74841277967289
266,266,9.186949745976563
267,267,9.66819928284076
268,268,4.246165559123028
269,269,15.562295300290316
270,270,7.036645180318601
271,271,5.605892577443683
272,272,11.430941107081708
273,273,2.7925410350558195
274,274,4.596051823438984
275,275,6.5380332419661045
276,276,5.768447594542749
277,277,10.79475732131209
278,278,9.734312174520255
279,279,5.145233236553395
280,280,3.596530767686545
281,281,8.728716420121373
282,282,11.991362953235011
283,283,12.939129117714174
284,284,11.072352669638121
285,285,2.5611485753993293
286,286,17.19957109542588
287,287,4.968168069083504
288,288,8.270501961704667
289,289,12.037383554540156
290,290,6.88185209745734
291,291,5.432445828478421
292,292,8.384286037358152
293,293,9.318041364437022
294,294,3.3595820856542105
295,295,9.590452600842355
296,296,0.7748705372232507
297,297,6.8097096907058585
298,298,2.9058611733303223
299,299,10.657465735180267
300,300,9.35291391825831
301,301,10.195111554404775
302,302,6.547234035176643
303,303,7.950445981363373
304,304,7.269814473776478
305,305,9.28686697519538
306,306,11.829430364895643
307,307,6.704659175975166
308,308,4.406773623577692
309,309,2.93508549694684
310,310,4.17552634935555
311,311,1.2125135629908073
312,312,4.001028080259857
313,313,15.40428109682125
314,314,1.807864693256306
315,315,9.27725938699723
316,316,6.126492759208759
317,317,10.005928464613135
318,318,8.588768763881944
319,319,8.706681247182132
320,320,8.36107448794155
321,321,11.4095148944225
322,322,4.34658775533444
323,323,7.551289135850311
324,324,4.911440495083298
325,325,7.649461225422783
326,326,6.569190422587781
327,327,8.906544980996841
328,328,11.640448457827006
329,329,0.8512721514371151
330,330,2.6178236013893184
331,331,2.1170024188559182
332,332,8.762514041680788
333,333,14.035769966251792
334,334,0.4100723223195928
335,335,8.675134898425767
336,336,8.633066287884503
337,337,6.357383210725402
338,338,-0.5126723798939565
339,339,8.392356291256874
340,340,1.2078331751508813
341,341,1.525818199026162
342,342,2.7173471575338226
